Recent Price,Price Change,PE,EPS
308.82,3.83,37.36,8.27
418.57,-0.52,24.93,16.79
215.33,-4.18,32.98,6.53
266.32,-2.14,31.83,8.37
382.97,-4.69,29.22,13.11
379.38,-4.09,28.94,13.11
610.26,2.88,22.18,27.52
486.38,6.4,0.01,50389.75
1065,23.35,37.84,28.15
414.14,-0.43,80.79,5.13
306.38,3.38,14.67,20.88
426.01,8.16,389.28,1.09
234.34,2.61,27.11,8.65
328.88,-2.24,28.65,11.48
154.92,-0.37,26.14,5.93
388.47,5.99,29.34,13.24
144.44,1.04,21.12,6.84
498.54,-1.08,28.84,17.28
1028.24,-22.21,53.47,19.23
313.07,-0.71,22.24,14.08
122.41,6.53,34.44,3.55
192.08,2.31,34.48,5.57
215.7,1.2,106.45,2.03
120.27,-1.07,42.37,2.84
51.8,0.31,12.95,4
150.57,1.72,23.66,6.36
81.48,0.31,25.65,3.18
180.07,3.76,23.09,7.8
191.43,0.42,33.23,5.76
448.28,-1.09,24.66,18.17
244.76,0.66,14.27,17.16
179.24,1.37,14.69,12.2
282.27,-1.91,23.27,12.13
467.51,17.92,153.41,3.05
88.6,-0.7,28.63,3.09
517.58,3.07,34.35,15.07
172,-1.33,33.24,5.18
76.4,0.48,11.8,6.48
253.84,0.87,22.45,11.31
309.21,10.82,52.89,5.85
188.99,0.53,26.61,7.1
879.89,13.94,43.77,20.1
302.84,1.08,37.27,8.12
339.3,1.88,23.59,14.38
227.92,4.12,35.54,6.41
201.03,0.52,18.21,11.04
265.88,0.44,21.89,12.15
48.35,0.08,11.78,4.1
44.67,0.28,29.39,1.52
101.02,2.77,16.35,6.18
103.11,-1.02,78.69,1.31
161.06,1.38,21.17,7.61
417.6,1.87,26.42,15.81
996.73,8.56,18.21,54.72
1073,9.25,27.93,38.42
438.1,-1.7,53.14,8.24
432.16,4.8,40.62,10.64
533.24,10.45,25.82,20.65
397.07,12.86,59.01,6.73
529.15,-2.2,29.99,17.65
61.76,0.26,30.62,2.02
316.48,2.98,36.66,8.63
125.09,-0.13,15.5,8.07
327.89,-2.37,11.58,28.31
90.15,-0.26,17.87,5.04
286.24,4.22,12.15,23.55
199.51,0.54,10.14,19.67
145.9,1.27,36.77,3.97
25.26,-0.08,8.47,2.98
134.36,3.86,18.28,7.35
102.13,2.44,60.74,1.68
44.23,-0.07,8.28,5.34
73.9,0.19,15.45,4.78
319.94,12.87,19.38,16.51
638.88,-3.71,15.57,41.03
81.32,1.25,13.47,6.04
1079.79,1.37,74.67,14.46
152.97,1.48,22.27,6.87
291.23,1.94,24.78,11.75
57.13,1.31,9.69,5.89
225.31,5.24,21,10.73
90.61,0.17,35.16,2.58
94.55,0.31,24.17,3.91
25.75,0.5,27.05,0.01
141.22,1.24,13.89,10.17
120.46,-0.09,20.48,5.88
57.28,0.03,25.1,2.28
33.79,0.29,22.79,1.48
131.59,1.98,19.45,6.77
67.67,-0.62,20.02,3.38
46.23,0.88,16.93,2.73
88.55,-1.14,22.48,3.94
78.6,0.45,21.95,3.58
59.46,-0.09,16.69,3.56
93.26,-0.06,41.25,2.26
